jahr;sprachreg;anz
1981;"D";997573
1981;"F";224636
1981;"I";44290
1981;"R";6328
1982;"D";1045776
1982;"F";236281
1982;"I";51377
1982;"R";5727
1983;"D";1077915
1983;"F";225995
1983;"I";49421
1983;"R";5942
1984;"D";1356175
1984;"F";342891
1984;"I";65649
1984;"R";7566
1985;"D";1159975
1985;"F";249319
1985;"I";49901
1985;"R";6394
1986;"D";1196954
1986;"F";266718
1986;"I";46940
1986;"R";5930
1987;"D";1404986
1987;"F";340833
1987;"I";92179
1987;"R";7216
1988;"D";1543264
1988;"F";415954
1988;"I";81058
1988;"R";8383
1989;"D";1902816
1989;"F";468305
1989;"I";96655
1989;"R";10431
1990;"D";1353253
1990;"F";297895
1990;"I";57599
1990;"R";6808
1991;"D";1083663
1991;"F";263022
1991;"I";50329
1991;"R";5208
1992;"D";1516711
1992;"F";351873
1992;"I";78041
1992;"R";7798
1993;"D";1560315
1993;"F";396233
1993;"I";77639
1993;"R";6924
1994;"D";1515758
1994;"F";346778
1994;"I";78097
1994;"R";6662
1995;"D";1361193
1995;"F";312557
1995;"I";57319
1995;"R";5901
1996;"D";1166504
1996;"F";298792
1996;"I";60593
1996;"R";5943
1997;"D";1289866
1997;"F";336376
1997;"I";53638
1997;"R";4597
1998;"D";1468070
1998;"F";393261
1998;"I";68092
1998;"R";6569
1999;"D";1469107
1999;"F";334062
1999;"I";71337
1999;"R";5554
2000;"D";1481893
2000;"F";403794
2000;"I";72613
2000;"R";6045
2001;"D";1522919
2001;"F";416087
2001;"I";70997
2001;"R";6838
2002;"D";1671043
2002;"F";466376
2002;"I";74243
2002;"R";7048
2003;"D";1589471
2003;"F";448905
2003;"I";68824
2003;"R";6581
2004;"D";1640909
2004;"F";481961
2004;"I";85949
2004;"R";6618
2005;"D";1754578
2005;"F";537587
2005;"I";95291
2005;"R";7402
2006;"D";1528551
2006;"F";484122
2006;"I";87681
2006;"R";6539
2007;"D";1383535
2007;"F";505446
2007;"I";86290
2007;"R";6790
2008;"D";1565160
2008;"F";508614
2008;"I";87151
2008;"R";6654
2009;"D";1650950
2009;"F";502613
2009;"I";88632
2009;"R";6381
2010;"D";1710349
2010;"F";523889
2010;"I";92796
2010;"R";6550
2011;"D";1831207
2011;"F";520717
2011;"I";97309
2011;"R";8155
2012;"D";1477749
2012;"F";478022
2012;"I";87694
2012;"R";6854
2013;"D";1749932
2013;"F";528283
2013;"I";98794
2013;"R";8134
2014;"D";1965468
2014;"F";606085
2014;"I";117145
2014;"R";8483