"jahr";"kt";"Partei";"Wert"
2003;"TG";"1";11,877841
2007;"TG";"1";12,098342
2011;"TG";"1";0
1971;"TI";"1";38,002473
1975;"TI";"1";39,099553
1979;"TI";"1";36,267945
1983;"TI";"1";37,891535
1987;"TI";"1";34,825956
1991;"TI";"1";29,423749
1995;"TI";"1";30,474986
1999;"TI";"1";27,680494
2003;"TI";"1";29,803558
2007;"TI";"1";28,116849
2011;"TI";"1";24,843401
1971;"UR";"1";0
1975;"UR";"1";0
1979;"UR";"1";0
1983;"UR";"1";0
1987;"UR";"1";0
1991;"UR";"1";0
1995;"UR";"1";0
1999;"UR";"1";0
2003;"UR";"1";0
2007;"UR";"1";87,259059
2011;"UR";"1";0
1971;"VD";"1";38,486084
1975;"VD";"1";39,287331
1979;"VD";"1";43,817694
1983;"VD";"1";47,327738
1987;"VD";"1";45,008884
1991;"VD";"1";44,03003
1995;"VD";"1";38,175079
1999;"VD";"1";37,677949
2003;"VD";"1";29,53647
2007;"VD";"1";22,628456
2011;"VD";"1";22,117316
1971;"VS";"1";19,295262
1975;"VS";"1";18,874827
1979;"VS";"1";23,475889
1983;"VS";"1";25,160002
1987;"VS";"1";24,583911
1991;"VS";"1";29,861118
1995;"VS";"1";26,406351
1999;"VS";"1";20,662677
2003;"VS";"1";17,105654
2007;"VS";"1";16,977912
2011;"VS";"1";18,832645
1971;"ZG";"1";0
1975;"ZG";"1";0
1979;"ZG";"1";0
1983;"ZG";"1";0
1987;"ZG";"1";0
1991;"ZG";"1";0
1995;"ZG";"1";0
1999;"ZG";"1";0
2003;"ZG";"1";0
2007;"ZG";"1";21,508613
2011;"ZG";"1";0
1971;"ZH";"1";16,764695
1975;"ZH";"1";18,459036
1979;"ZH";"1";22,386029
1983;"ZH";"1";21,791257
1987;"ZH";"1";20,327364
1991;"ZH";"1";18,664454
1995;"ZH";"1";18,572121
1999;"ZH";"1";17,973263
2003;"ZH";"1";16,247175
2007;"ZH";"1";13,158513
2011;"ZH";"1";11,645237
1971;"AG";"2";19,986491
1975;"AG";"2";20,653078
1979;"AG";"2";22,490203
1983;"AG";"2";21,486908
1987;"AG";"2";18,900268
1991;"AG";"2";14,455471
1995;"AG";"2";14,179394
1999;"AG";"2";16,326222
2003;"AG";"2";15,595199
2007;"AG";"2";13,511705
2011;"AG";"2";10,608756
1971;"AI";"2";96,140503
1975;"AI";"2";98,31336
1979;"AI";"2";97,209057
1983;"AI";"2";95,613603
1987;"AI";"2";91,662095
1991;"AI";"2";98,960044
1995;"AI";"2";85,406091
1999;"AI";"2";72,594142
2003;"AI";"2";69,161677
2007;"AI";"2";84,441162
2011;"AI";"2";76,142257
1971;"AR";"2";0
1975;"AR";"2";14,086814
1979;"AR";"2";0
1983;"AR";"2";14,523516
1987;"AR";"2";0
1991;"AR";"2";16,721102
1995;"AR";"2";9,536928
1999;"AR";"2";0
2003;"AR";"2";0
2007;"AR";"2";0
2011;"AR";"2";10,566211
1971;"BE";"2";2,358534
1975;"BE";"2";2,28338
1979;"BE";"2";1,93192
1983;"BE";"2";1,841264
1987;"BE";"2";1,822337
1991;"BE";"2";2,043163
1995;"BE";"2";1,842763
1999;"BE";"2";2,410498
2003;"BE";"2";2,339081
2007;"BE";"2";4,745739
2011;"BE";"2";2,06313
1971;"BL";"2";15,067969
1975;"BL";"2";14,939977
1979;"BL";"2";13,619385
1983;"BL";"2";11,727436
1987;"BL";"2";13,879286
1991;"BL";"2";13,225265
1995;"BL";"2";11,720955
1999;"BL";"2";11,969117
2003;"BL";"2";10,036952
2007;"BL";"2";11,404841
2011;"BL";"2";8,245491
1971;"BS";"2";11,24469
1975;"BS";"2";12,084094
1979;"BS";"2";13,937232
1983;"BS";"2";9,895508
1987;"BS";"2";9,97681
1991;"BS";"2";10,370143
1995;"BS";"2";9,698907
1999;"BS";"2";8,587662
2003;"BS";"2";6,594862
2007;"BS";"2";7,371264
2011;"BS";"2";6,551666
1971;"FR";"2";41,472868
1975;"FR";"2";46,881953
1979;"FR";"2";39,86849
1983;"FR";"2";37,929793
1987;"FR";"2";37,655844
1991;"FR";"2";36,845089
1995;"FR";"2";35,96167
1999;"FR";"2";33,730415
2003;"FR";"2";25,392763
2007;"FR";"2";24,781338
2011;"FR";"2";20,272807
1971;"GE";"2";13,758183
1975;"GE";"2";14,817435
1979;"GE";"2";14,011401
1983;"GE";"2";12,294904
1987;"GE";"2";14,595405
1991;"GE";"2";14,508937
1995;"GE";"2";13,244503
1999;"GE";"2";14,045757
2003;"GE";"2";11,750264
2007;"GE";"2";9,685728
2011;"GE";"2";9,528898
1971;"GL";"2";0
1975;"GL";"2";0
1979;"GL";"2";0
1983;"GL";"2";0
1987;"GL";"2";0
1991;"GL";"2";0
1995;"GL";"2";0
1999;"GL";"2";0
2003;"GL";"2";0
2007;"GL";"2";0
2011;"GL";"2";0
1971;"GR";"2";37,273539
1975;"GR";"2";35,903846
1979;"GR";"2";35,506847
1983;"GR";"2";33,297276
1987;"GR";"2";28,490945
1991;"GR";"2";25,56625
1995;"GR";"2";26,936996
1999;"GR";"2";25,587707
2003;"GR";"2";23,711957
2007;"GR";"2";20,348968
2011;"GR";"2";16,697106
1971;"JU";"2";35,270136
1975;"JU";"2";33,314868
1979;"JU";"2";37,635175
1983;"JU";"2";25,020315
1987;"JU";"2";32,970674
1991;"JU";"2";35,989302
1995;"JU";"2";38,113969
1999;"JU";"2";39,14455
2003;"JU";"2";39,389736
2007;"JU";"2";24,960579
2011;"JU";"2";33,229421
1971;"LU";"2";48,807345
1975;"LU";"2";50,110954
1979;"LU";"2";50,431435
1983;"LU";"2";49,60324
1987;"LU";"2";47,016021
1991;"LU";"2";48,599007
1995;"LU";"2";37,362517
1999;"LU";"2";33,92407
2003;"LU";"2";29,465869
2007;"LU";"2";30,306973
2011;"LU";"2";27,191157
1971;"NE";"2";0
1975;"NE";"2";0
1979;"NE";"2";0
1983;"NE";"2";0
1987;"NE";"2";0
1991;"NE";"2";0
1995;"NE";"2";0
1999;"NE";"2";0
2003;"NE";"2";0
2007;"NE";"2";3,346974
2011;"NE";"2";3,492463
1971;"NW";"2";97,23063
1975;"NW";"2";97,597318
1979;"NW";"2";49,525051
1983;"NW";"2";97,154851
1987;"NW";"2";96,869692
1991;"NW";"2";97,687977
1995;"NW";"2";32,096752
1999;"NW";"2";0
2003;"NW";"2";0
2007;"NW";"2";0
2011;"NW";"2";0
1971;"OW";"2";67,040211
1975;"OW";"2";97,053474
1979;"OW";"2";95,724358
1983;"OW";"2";91,018124
1987;"OW";"2";51,746204
1991;"OW";"2";95,287155
1995;"OW";"2";94,152047
1999;"OW";"2";0
2003;"OW";"2";66,397013
2007;"OW";"2";32,500546
2011;"OW";"2";0
1971;"SG";"2";44,000464
1975;"SG";"2";43,320768
1979;"SG";"2";44,064433
1983;"SG";"2";40,835254
1987;"SG";"2";39,43969
1991;"SG";"2";35,79433
1995;"SG";"2";30,981884
1999;"SG";"2";26,155431
2003;"SG";"2";22,176769
2007;"SG";"2";21,432707
2011;"SG";"2";20,410199
1971;"SH";"2";8,075635
1975;"SH";"2";0
1979;"SH";"2";0
1983;"SH";"2";6,35125
1987;"SH";"2";0
1991;"SH";"2";0
1995;"SH";"2";0
1999;"SH";"2";0
2003;"SH";"2";2,679492
2007;"SH";"2";0
2011;"SH";"2";5,242237
1971;"SO";"2";27,665404
1975;"SO";"2";25,960498
1979;"SO";"2";27,547365
1983;"SO";"2";26,713101
1987;"SO";"2";25,098312
1991;"SO";"2";22,192973
1995;"SO";"2";21,5155
1999;"SO";"2";21,4224
2003;"SO";"2";21,02719
2007;"SO";"2";20,369179
2011;"SO";"2";17,865171
1971;"SZ";"2";38,497347
1975;"SZ";"2";46,363799
1979;"SZ";"2";49,370386
1983;"SZ";"2";46,555979
1987;"SZ";"2";36,943844
1991;"SZ";"2";32,800294
1995;"SZ";"2";27,352475
1999;"SZ";"2";27,255421
2003;"SZ";"2";23,443928
2007;"SZ";"2";20,101294
2011;"SZ";"2";20,563973
1971;"TG";"2";23,425097
1975;"TG";"2";22,27419
1979;"TG";"2";24,628912
1983;"TG";"2";21,59245
1987;"TG";"2";20,432051
1991;"TG";"2";16,491986
1995;"TG";"2";12,997964
1999;"TG";"2";15,752464
2003;"TG";"2";16,449103
2007;"TG";"2";15,188679
2011;"TG";"2";14,418611
1971;"TI";"2";35,183812
1975;"TI";"2";35,58008
1979;"TI";"2";34,078011
1983;"TI";"2";33,907319
1987;"TI";"2";38,231075
1991;"TI";"2";26,936637
1995;"TI";"2";28,367508
1999;"TI";"2";25,914383
2003;"TI";"2";24,563313
2007;"TI";"2";24,105373
2011;"TI";"2";19,9652
1971;"UR";"2";0
1975;"UR";"2";18,612245
1979;"UR";"2";0
1983;"UR";"2";0
1987;"UR";"2";0
1991;"UR";"2";0
1995;"UR";"2";0
1999;"UR";"2";0
2003;"UR";"2";0
2007;"UR";"2";0
2011;"UR";"2";0
1971;"VD";"2";5,25038
1975;"VD";"2";4,608313
1979;"VD";"2";5,067089
1983;"VD";"2";4,513908
1987;"VD";"2";4,072809
1991;"VD";"2";3,541462
1995;"VD";"2";5,646586
1999;"VD";"2";4,495847
2003;"VD";"2";4,418494
2007;"VD";"2";5,551418
2011;"VD";"2";4,567978
1971;"VS";"2";61,471207
1975;"VS";"2";59,712093
1979;"VS";"2";58,787129
1983;"VS";"2";57,480349
1987;"VS";"2";58,666075
1991;"VS";"2";54,339429
1995;"VS";"2";54,830508
1999;"VS";"2";51,4037
2003;"VS";"2";47,851164
2007;"VS";"2";44,915734
2011;"VS";"2";39,972585
1971;"ZG";"2";0
1975;"ZG";"2";39,376004
1979;"ZG";"2";34,09471
1983;"ZG";"2";39,883546
1987;"ZG";"2";34,242612
1991;"ZG";"2";34,184025
1995;"ZG";"2";27,121959
1999;"ZG";"2";26,36318
2003;"ZG";"2";22,896548
2007;"ZG";"2";23,317723
2011;"ZG";"2";24,291311
1971;"ZH";"2";9,541045
1975;"ZH";"2";9,373228
1979;"ZH";"2";9,709881
1983;"ZH";"2";9,083267
1987;"ZH";"2";7,13057
1991;"ZH";"2";5,900482
1995;"ZH";"2";4,871143
1999;"ZH";"2";5,122675
2003;"ZH";"2";5,43022
2007;"ZH";"2";7,556196
2011;"ZH";"2";5,030736
1971;"AG";"7";3,84369
1975;"AG";"7";4,629534
1979;"AG";"7";5,043367
1983;"AG";"7";4,972724
1987;"AG";"7";3,357804
1991;"AG";"7";3,298204
1995;"AG";"7";3,041814
1999;"AG";"7";3,821411
2003;"AG";"7";5,227337
2007;"AG";"7";4,248707
2011;"AG";"7";3,234911
1971;"AI";"7";0
1975;"AI";"7";0
1979;"AI";"7";0
1983;"AI";"7";0
1987;"AI";"7";0
1991;"AI";"7";0
1995;"AI";"7";0
1999;"AI";"7";0
2003;"AI";"7";0
2007;"AI";"7";0
2011;"AI";"7";0
1971;"AR";"7";0
1975;"AR";"7";0
1979;"AR";"7";0
1983;"AR";"7";0
1987;"AR";"7";0
1991;"AR";"7";0
1995;"AR";"7";0
1999;"AR";"7";0
2003;"AR";"7";0
2007;"AR";"7";0
2011;"AR";"7";0
1971;"BE";"7";4,4345
1975;"BE";"7";3,799734
1979;"BE";"7";3,403681
1983;"BE";"7";3,28193
1987;"BE";"7";3,438832
1991;"BE";"7";3,351757
1995;"BE";"7";3,760492
1999;"BE";"7";3,975602
2003;"BE";"7";5,154003
2007;"BE";"7";5,44365
2011;"BE";"7";4,176049
1971;"BL";"7";0,011169
1975;"BL";"7";0,007815
1979;"BL";"7";3,658377
1983;"BL";"7";0,016492
1987;"BL";"7";3,093851
1991;"BL";"7";2,513453
1995;"BL";"7";1,720391
1999;"BL";"7";2,419421
2003;"BL";"7";2,654179
2007;"BL";"7";2,788693
2011;"BL";"7";3,283073
1971;"BS";"7";0
1975;"BS";"7";3,975244
1979;"BS";"7";0
1983;"BS";"7";4,782936
1987;"BS";"7";4,543503
1991;"BS";"7";3,267072
1995;"BS";"7";4,134567
1999;"BS";"7";3,769841
2003;"BS";"7";2,863953
2007;"BS";"7";3,56856
2011;"BS";"7";2,492502
1971;"FR";"7";0
1975;"FR";"7";0
1979;"FR";"7";0
1983;"FR";"7";0
1987;"FR";"7";0
1991;"FR";"7";0
1995;"FR";"7";0
1999;"FR";"7";0
2003;"FR";"7";0,696573
2007;"FR";"7";0,760141
2011;"FR";"7";0,679121
1971;"GE";"7";0
1975;"GE";"7";0
1979;"GE";"7";0
1983;"GE";"7";0
1987;"GE";"7";0
1991;"GE";"7";0
1995;"GE";"7";0
1999;"GE";"7";0
2003;"GE";"7";0
2007;"GE";"7";1,200678
2011;"GE";"7";1,023031
1971;"GL";"7";0
1975;"GL";"7";0
1979;"GL";"7";0
1983;"GL";"7";0
1987;"GL";"7";0
1991;"GL";"7";0
1995;"GL";"7";0
1999;"GL";"7";0
2003;"GL";"7";0
2007;"GL";"7";0
2011;"GL";"7";0
1971;"GR";"7";0
1975;"GR";"7";0
1979;"GR";"7";0
1983;"GR";"7";0
1987;"GR";"7";0
1991;"GR";"7";0
1995;"GR";"7";0
1999;"GR";"7";0
2003;"GR";"7";0
2007;"GR";"7";0
2011;"GR";"7";0
1971;"JU";"7";0,251467
1975;"JU";"7";0,088633
1979;"JU";"7";0
1983;"JU";"7";0
1987;"JU";"7";0
1991;"JU";"7";0
1995;"JU";"7";0
1999;"JU";"7";0
2003;"JU";"7";0
2007;"JU";"7";0
2011;"JU";"7";0
1971;"LU";"7";0
1975;"LU";"7";0
1979;"LU";"7";0
1983;"LU";"7";0
1987;"LU";"7";0
1991;"LU";"7";0
1995;"LU";"7";0
1999;"LU";"7";0
2003;"LU";"7";0,805227
2007;"LU";"7";0,739806
2011;"LU";"7";0,741795
1971;"NE";"7";0
1975;"NE";"7";0
1979;"NE";"7";0
1983;"NE";"7";0
1987;"NE";"7";0
1991;"NE";"7";0
1995;"NE";"7";0
1999;"NE";"7";0
2003;"NE";"7";0
2007;"NE";"7";1,227662
2011;"NE";"7";0
1971;"NW";"7";0
1975;"NW";"7";0
1979;"NW";"7";0
1983;"NW";"7";0
1987;"NW";"7";0
1991;"NW";"7";0
1995;"NW";"7";0
1999;"NW";"7";0
2003;"NW";"7";0
2007;"NW";"7";0
2011;"NW";"7";0
1971;"OW";"7";0
1975;"OW";"7";0
1979;"OW";"7";0
1983;"OW";"7";0
1987;"OW";"7";0
1991;"OW";"7";0
1995;"OW";"7";0
1999;"OW";"7";0
2003;"OW";"7";0
2007;"OW";"7";0
2011;"OW";"7";0
1971;"SG";"7";3,015033
1975;"SG";"7";0
1979;"SG";"7";2,121954
1983;"SG";"7";0
1987;"SG";"7";2,299793
1991;"SG";"7";0
1995;"SG";"7";1,695333
1999;"SG";"7";1,315703
2003;"SG";"7";1,501835
2007;"SG";"7";2,038557
2011;"SG";"7";1,826016
1971;"SH";"7";0
1975;"SH";"7";0
1979;"SH";"7";6,31213
1983;"SH";"7";0
1987;"SH";"7";0
1991;"SH";"7";0
1995;"SH";"7";0
1999;"SH";"7";0
2003;"SH";"7";0
2007;"SH";"7";0
2011;"SH";"7";0
1971;"SO";"7";0
1975;"SO";"7";0
1979;"SO";"7";0
1983;"SO";"7";0
1987;"SO";"7";0
1991;"SO";"7";1,160074
1995;"SO";"7";0
1999;"SO";"7";0
2003;"SO";"7";1,184033
2007;"SO";"7";1,758962
2011;"SO";"7";1,454327
1971;"SZ";"7";0
1975;"SZ";"7";0
1979;"SZ";"7";0
1983;"SZ";"7";0
1987;"SZ";"7";0
1991;"SZ";"7";0
1995;"SZ";"7";0
1999;"SZ";"7";0
2003;"SZ";"7";0
2007;"SZ";"7";0,944842
2011;"SZ";"7";1,104798
1971;"TG";"7";0
1975;"TG";"7";0
1979;"TG";"7";0
1983;"TG";"7";5,261285
1987;"TG";"7";0
1991;"TG";"7";3,189397
1995;"TG";"7";2,674319
1999;"TG";"7";2,783736
2003;"TG";"7";2,709435
2007;"TG";"7";2,838765
2011;"TG";"7";2,903468
1971;"TI";"7";0
1975;"TI";"7";0
1979;"TI";"7";0
1983;"TI";"7";0
1987;"TI";"7";0
1991;"TI";"7";0
1995;"TI";"7";0
1999;"TI";"7";0,207778
2003;"TI";"7";0
2007;"TI";"7";0
2011;"TI";"7";0
1971;"UR";"7";0
1975;"UR";"7";0
1979;"UR";"7";0
1983;"UR";"7";0
1987;"UR";"7";0
1991;"UR";"7";0
1995;"UR";"7";0
1999;"UR";"7";0
2003;"UR";"7";0
2007;"UR";"7";0
2011;"UR";"7";0
1971;"VD";"7";0
1975;"VD";"7";0
1979;"VD";"7";0
1983;"VD";"7";0
1987;"VD";"7";0
1991;"VD";"7";0
1995;"VD";"7";0
1999;"VD";"7";0
2003;"VD";"7";0,630935
2007;"VD";"7";1,046146
2011;"VD";"7";1,026334
1971;"VS";"7";0
1975;"VS";"7";0
1979;"VS";"7";0
1983;"VS";"7";0
1987;"VS";"7";0
1991;"VS";"7";0
1995;"VS";"7";0
1999;"VS";"7";0
2003;"VS";"7";0
2007;"VS";"7";0
2011;"VS";"7";0
1971;"ZG";"7";0
1975;"ZG";"7";0
1979;"ZG";"7";0
1983;"ZG";"7";0
1987;"ZG";"7";0
1991;"ZG";"7";0
1995;"ZG";"7";0
1999;"ZG";"7";0
2003;"ZG";"7";0
2007;"ZG";"7";0
2011;"ZG";"7";0
1971;"ZH";"7";5,193606
1975;"ZH";"7";5,383376
1979;"ZH";"7";5,668819
1983;"ZH";"7";5,431419
1987;"ZH";"7";4,366178
1991;"ZH";"7";4,774615
1995;"ZH";"7";3,740347
1999;"ZH";"7";3,436332
2003;"ZH";"7";4,110234
2007;"ZH";"7";3,679701
2011;"ZH";"7";3,070966
1971;"AG";"31";0
1975;"AG";"31";0
1979;"AG";"31";0
1983;"AG";"31";0
1987;"AG";"31";0
1991;"AG";"31";0
1995;"AG";"31";0
1999;"AG";"31";0
2003;"AG";"31";0
2007;"AG";"31";0
2011;"AG";"31";5,657174
1971;"AI";"31";0
1975;"AI";"31";0
1979;"AI";"31";0
1983;"AI";"31";0
1987;"AI";"31";0
1991;"AI";"31";0
1995;"AI";"31";0
1999;"AI";"31";0
2003;"AI";"31";0
2007;"AI";"31";0
2011;"AI";"31";0
1971;"AR";"31";0
1975;"AR";"31";0
1979;"AR";"31";0
1983;"AR";"31";0
1987;"AR";"31";0
1991;"AR";"31";0
1995;"AR";"31";0
1999;"AR";"31";0
2003;"AR";"31";0
2007;"AR";"31";0
2011;"AR";"31";0
1971;"BE";"31";0
1975;"BE";"31";0
1979;"BE";"31";0
1983;"BE";"31";0
1987;"BE";"31";0
1991;"BE";"31";0
1995;"BE";"31";0
1999;"BE";"31";0
2003;"BE";"31";0
2007;"BE";"31";0
2011;"BE";"31";5,290407
1971;"BL";"31";0
1975;"BL";"31";0
1979;"BL";"31";0
1983;"BL";"31";0
1987;"BL";"31";0
1991;"BL";"31";0
1995;"BL";"31";0
1999;"BL";"31";0
2003;"BL";"31";0
2007;"BL";"31";0
2011;"BL";"31";5,005304
1971;"BS";"31";0
1975;"BS";"31";0
1979;"BS";"31";0
1983;"BS";"31";0
1987;"BS";"31";0
1991;"BS";"31";0
1995;"BS";"31";0
1999;"BS";"31";0
2003;"BS";"31";0
2007;"BS";"31";0
2011;"BS";"31";5,750638
1971;"FR";"31";0
1975;"FR";"31";0
1979;"FR";"31";0
1983;"FR";"31";0
1987;"FR";"31";0
1991;"FR";"31";0
1995;"FR";"31";0
1999;"FR";"31";0
2003;"FR";"31";0
2007;"FR";"31";0
2011;"FR";"31";3,540469
1971;"GE";"31";0
1975;"GE";"31";0
1979;"GE";"31";0
1983;"GE";"31";0
1987;"GE";"31";0
1991;"GE";"31";0
1995;"GE";"31";0
1999;"GE";"31";0
2003;"GE";"31";0
2007;"GE";"31";0
2011;"GE";"31";3,185468
1971;"GL";"31";0
1975;"GL";"31";0
1979;"GL";"31";0
1983;"GL";"31";0
1987;"GL";"31";0
1991;"GL";"31";0
1995;"GL";"31";0
1999;"GL";"31";0
2003;"GL";"31";0
2007;"GL";"31";0
2011;"GL";"31";0
1971;"GR";"31";0
1975;"GR";"31";0
1979;"GR";"31";0
1983;"GR";"31";0
1987;"GR";"31";0
1991;"GR";"31";0
1995;"GR";"31";0
1999;"GR";"31";0
2003;"GR";"31";0
2007;"GR";"31";0
2011;"GR";"31";8,230425
1971;"JU";"31";0
1975;"JU";"31";0
1979;"JU";"31";0
1983;"JU";"31";0
1987;"JU";"31";0
1991;"JU";"31";0
1995;"JU";"31";0
1999;"JU";"31";0
2003;"JU";"31";0
2007;"JU";"31";0
2011;"JU";"31";0
1971;"LU";"31";0
1975;"LU";"31";0
1979;"LU";"31";0
1983;"LU";"31";0
1987;"LU";"31";0
1991;"LU";"31";0
1995;"LU";"31";0
1999;"LU";"31";0
2003;"LU";"31";0
2007;"LU";"31";0
2011;"LU";"31";6,112267
1971;"NE";"31";0
1975;"NE";"31";0
1979;"NE";"31";0
1983;"NE";"31";0
1987;"NE";"31";0
1991;"NE";"31";0
1995;"NE";"31";0
1999;"NE";"31";0
2003;"NE";"31";0
2007;"NE";"31";0
2011;"NE";"31";0
1971;"NW";"31";0
1975;"NW";"31";0
1979;"NW";"31";0
1983;"NW";"31";0
1987;"NW";"31";0
1991;"NW";"31";0
1995;"NW";"31";0
1999;"NW";"31";0
2003;"NW";"31";0
2007;"NW";"31";0
2011;"NW";"31";0
1971;"OW";"31";0
1975;"OW";"31";0
1979;"OW";"31";0
1983;"OW";"31";0
1987;"OW";"31";0
1991;"OW";"31";0
1995;"OW";"31";0
1999;"OW";"31";0
2003;"OW";"31";0
2007;"OW";"31";0
2011;"OW";"31";0
1971;"SG";"31";0
1975;"SG";"31";0
1979;"SG";"31";0
1983;"SG";"31";0
1987;"SG";"31";0
1991;"SG";"31";0
1995;"SG";"31";0
1999;"SG";"31";0
2003;"SG";"31";0
2007;"SG";"31";3,134181
2011;"SG";"31";5,955598
1971;"SH";"31";0
1975;"SH";"31";0
1979;"SH";"31";0
1983;"SH";"31";0
1987;"SH";"31";0
1991;"SH";"31";0
1995;"SH";"31";0
1999;"SH";"31";0
2003;"SH";"31";0
2007;"SH";"31";0
2011;"SH";"31";0
1971;"SO";"31";0
1975;"SO";"31";0
1979;"SO";"31";0
1983;"SO";"31";0
1987;"SO";"31";0
1991;"SO";"31";0
1995;"SO";"31";0
1999;"SO";"31";0
2003;"SO";"31";0
2007;"SO";"31";0
2011;"SO";"31";4,973774
1971;"SZ";"31";0
1975;"SZ";"31";0
1979;"SZ";"31";0
1983;"SZ";"31";0
1987;"SZ";"31";0
1991;"SZ";"31";0
1995;"SZ";"31";0
1999;"SZ";"31";0
2003;"SZ";"31";0
2007;"SZ";"31";0
2011;"SZ";"31";0
1971;"TG";"31";0
1975;"TG";"31";0
1979;"TG";"31";0
1983;"TG";"31";0
1987;"TG";"31";0
1991;"TG";"31";0
1995;"TG";"31";0
1999;"TG";"31";0
2003;"TG";"31";0
2007;"TG";"31";0
2011;"TG";"31";5,203437
1971;"TI";"31";0
1975;"TI";"31";0
1979;"TI";"31";0
1983;"TI";"31";0
1987;"TI";"31";0
1991;"TI";"31";0
1995;"TI";"31";0
1999;"TI";"31";0
2003;"TI";"31";0
