"sprachreg_id","jahr","dim","wert","anz_gultig","anz_stber"
"D",1981,21,-1.09,997573,2927994
"D",1981,22,1.2,997573,2927994
"F",1981,21,4.54,224636,857389
"F",1981,22,-2.83,224636,857389
"I",1981,21,3.6,44290,162717
"I",1981,22,-11.5,44290,162717
"R",1981,21,-1.08,6328,15699
"R",1981,22,5.03,6328,15699
"D",1982,21,-1.07,1045776,2965010
"D",1982,22,1.23,1045776,2965010
"F",1982,21,4.5,236281,863904
"F",1982,22,-2.91,236281,863904
"I",1982,21,3.55,51377,165231
"I",1982,22,-11.62,51377,165231
"R",1982,21,-1.12,5727,15956
"R",1982,22,4.95,5727,15956
"D",1983,21,-1.07,1077915,2997995
"D",1983,22,1.27,1077915,2997995
"F",1983,21,4.48,225995,871782
"F",1983,22,-2.99,225995,871782
"I",1983,21,3.42,49421,167131
"I",1983,22,-11.72,49421,167131
"R",1983,21,-1.23,5942,16125
"R",1983,22,4.91,5942,16125
"D",1984,21,-1.07,1356175,3036942
"D",1984,22,1.3,1356175,3036942
"F",1984,21,4.51,342891,881958
"F",1984,22,-3.06,342891,881958
"I",1984,21,3.12,65649,169712
"I",1984,22,-11.77,65649,169712
"R",1984,21,-1.42,7566,16274
"R",1984,22,4.87,7566,16274
"D",1985,21,-1.08,1159975,3068411
"D",1985,22,1.33,1159975,3068411
"F",1985,21,4.6,249319,890030
"F",1985,22,-3.15,249319,890030
"I",1985,21,2.63,49901,171753
"I",1985,22,-11.76,49901,171753
"R",1985,21,-1.7,6394,16377
"R",1985,22,4.86,6394,16377
"D",1986,21,-1.1,1196954,3110262
"D",1986,22,1.36,1196954,3110262
"F",1986,21,4.75,266718,900295
"F",1986,22,-3.24,266718,900295
"I",1986,21,1.9,46940,174802
"I",1986,22,-11.68,46940,174802
"R",1986,21,-2.08,5930,16555
"R",1986,22,4.82,5930,16555
"D",1987,21,-1.13,1404986,3133976
"D",1987,22,1.4,1404986,3133976
"F",1987,21,4.97,340833,907105
"F",1987,22,-3.35,340833,907105
"I",1987,21,0.99,92179,177284
"I",1987,22,-11.51,92179,177284
"R",1987,21,-2.53,7216,16566
"R",1987,22,4.75,7216,16566
"D",1988,21,-1.17,1543264,3166680
"D",1988,22,1.45,1543264,3166680
"F",1988,21,5.22,415954,915275
"F",1988,22,-3.52,415954,915275
"I",1988,21,-0.05,81058,179438
"I",1988,22,-11.28,81058,179438
"R",1988,21,-2.98,8383,16639
"R",1988,22,4.64,8383,16639
"D",1989,21,-1.2,1902816,3193619
"D",1989,22,1.51,1902816,3193619
"F",1989,21,5.46,468305,922215
"F",1989,22,-3.73,468305,922215
"I",1989,21,-1.07,96655,181822
"I",1989,22,-10.95,96655,181822
"R",1989,21,-3.37,10431,16824
"R",1989,22,4.46,10431,16824
"D",1990,21,-1.23,1353253,3207252
"D",1990,22,1.6,1353253,3207252
"F",1990,21,5.64,297895,926506
"F",1990,22,-4.07,297895,926506
"I",1990,21,-1.94,57599,183414
"I",1990,22,-10.56,57599,183414
"R",1990,21,-3.64,6808,16902
"R",1990,22,4.24,6808,16902
"D",1991,21,-1.24,1083663,3273102
"D",1991,22,1.73,1083663,3273102
"F",1991,21,5.76,263022,945668
"F",1991,22,-4.52,263022,945668
"I",1991,21,-2.61,50329,188398
"I",1991,22,-10.16,50329,188398
"R",1991,21,-3.78,5208,17319
"R",1991,22,3.99,5208,17319
"D",1992,21,-1.24,1516711,3341807
"D",1992,22,1.9,1516711,3341807
"F",1992,21,5.8,351873,969522
"F",1992,22,-5.13,351873,969522
"I",1992,21,-3.09,78041,194289
"I",1992,22,-9.79,78041,194289
"R",1992,21,-3.81,7798,17887
"R",1992,22,3.73,7798,17887
"D",1993,21,-1.22,1560315,3363360
"D",1993,22,2.1,1560315,3363360
"F",1993,21,5.74,396233,976037
"F",1993,22,-5.84,396233,976037
"I",1993,21,-3.45,77639,196294
"I",1993,22,-9.48,77639,196294
"R",1993,21,-3.74,6924,18116
"R",1993,22,3.5,6924,18116
"D",1994,21,-1.18,1515758,3369560
"D",1994,22,2.31,1515758,3369560
"F",1994,21,5.61,346778,978570
"F",1994,22,-6.6,346778,978570
"I",1994,21,-3.7,78097,197241
"I",1994,22,-9.25,78097,197241
"R",1994,21,-3.62,6662,18286
"R",1994,22,3.34,6662,18286
"D",1995,21,-1.13,1361193,3376729
"D",1995,22,2.52,1361193,3376729
"F",1995,21,5.43,312557,982556
"F",1995,22,-7.36,312557,982556
"I",1995,21,-3.92,57319,197871
"I",1995,22,-9.11,57319,197871
"R",1995,21,-3.48,5901,18386
"R",1995,22,3.26,5901,18386
"D",1996,21,-1.07,1166504,3385188
"D",1996,22,2.71,1166504,3385188
"F",1996,21,5.21,298792,986322
"F",1996,22,-8.04,298792,986322
"I",1996,21,-4.14,60593,199464
"I",1996,22,-9,60593,199464
"R",1996,21,-3.34,5943,18415
"R",1996,22,3.23,5943,18415
"D",1997,21,-1.01,1289866,3395914
"D",1997,22,2.87,1289866,3395914
"F",1997,21,4.96,336376,989779
"F",1997,22,-8.62,336376,989779
"I",1997,21,-4.42,53638,199822
"I",1997,22,-8.94,53638,199822
"R",1997,21,-3.22,4597,18392
"R",1997,22,3.22,4597,18392
"D",1998,21,-0.95,1468070,3408373
"D",1998,22,3,1468070,3408373
"F",1998,21,4.73,393261,994451
"F",1998,22,-9.07,393261,994451
"I",1998,21,-4.75,68092,201065
"I",1998,22,-8.87,68092,201065
"R",1998,21,-3.11,6569,18363
"R",1998,22,3.22,6569,18363
"D",1999,21,-0.89,1469107,3413771
"D",1999,22,3.1,1469107,3413771
"F",1999,21,4.54,334062,996758
"F",1999,22,-9.41,334062,996758
"I",1999,21,-5.14,71337,202312
"I",1999,22,-8.81,71337,202312
"R",1999,21,-3.05,5554,18319
"R",1999,22,3.22,5554,18319
"D",2000,21,-0.85,1481893,3433198
"D",2000,22,3.17,1481893,3433198
"F",2000,21,4.41,403794,1002046
"F",2000,22,-9.63,403794,1002046
"I",2000,21,-5.58,72613,204589
"I",2000,22,-8.7,72613,204589
"R",2000,21,-2.99,6045,18356
"R",2000,22,3.21,6045,18356
"D",2001,21,-0.83,1522919,3453855
"D",2001,22,3.21,1522919,3453855
"F",2001,21,4.34,416087,1009013
"F",2001,22,-9.76,416087,1009013
"I",2001,21,-6.03,70997,206213
"I",2001,22,-8.56,70997,206213
"R",2001,21,-2.93,6838,18307
"R",2001,22,3.21,6838,18307
"D",2002,21,-0.82,1671043,3482541
"D",2002,22,3.23,1671043,3482541
"F",2002,21,4.32,466376,1010397
"F",2002,22,-9.78,466376,1010397
"I",2002,21,-6.49,74243,207957
"I",2002,22,-8.36,74243,207957
"R",2002,21,-2.83,7048,18351
"R",2002,22,3.24,7048,18351
"D",2003,21,-0.82,1589471,3500299
"D",2003,22,3.22,1589471,3500299
"F",2003,21,4.34,448905,1014797
"F",2003,22,-9.73,448905,1014797
"I",2003,21,-6.92,68824,208680
"I",2003,22,-8.07,68824,208680
"R",2003,21,-2.67,6581,18398
"R",2003,22,3.33,6581,18398
"D",2004,21,-0.82,1640909,3525485
"D",2004,22,3.18,1640909,3525485
"F",2004,21,4.39,481961,1023788
"F",2004,22,-9.57,481961,1023788
"I",2004,21,-7.29,85949,210441
"I",2004,22,-7.69,85949,210441
"R",2004,21,-2.43,6618,18424
"R",2004,22,3.5,6618,18424
"D",2005,21,-0.83,1754578,3555204
"D",2005,22,3.12,1754578,3555204
"F",2005,21,4.43,537587,1032332
"F",2005,22,-9.32,537587,1032332
"I",2005,21,-7.61,95291,212262
"I",2005,22,-7.17,95291,212262
"R",2005,21,-2.08,7402,18382
"R",2005,22,3.77,7402,18382
"D",2006,21,-0.84,1528551,3585562
"D",2006,22,3.02,1528551,3585562
"F",2006,21,4.47,484122,1042861
"F",2006,22,-8.97,484122,1042861
"I",2006,21,-7.84,87681,213536
"I",2006,22,-6.54,87681,213536
"R",2006,21,-1.65,6539,18457
"R",2006,22,4.13,6539,18457
"D",2007,21,-0.85,1383535,3604216
"D",2007,22,2.89,1383535,3604216
"F",2007,21,4.5,505446,1049765
"F",2007,22,-8.55,505446,1049765
"I",2007,21,-7.98,86290,214647
"I",2007,22,-5.8,86290,214647
"R",2007,21,-1.11,6790,18468
"R",2007,22,4.56,6790,18468
"D",2008,21,-0.86,1565160,3642030
"D",2008,22,2.74,1565160,3642030
"F",2008,21,4.51,508614,1064225
"F",2008,22,-8.07,508614,1064225
"I",2008,21,-8.02,87151,217192
"I",2008,22,-5,87151,217192
"R",2008,21,-0.5,6654,18436
"R",2008,22,4.99,6654,18436
"D",2009,21,-0.87,1650950,3674272
"D",2009,22,2.58,1650950,3674272
"F",2009,21,4.51,502613,1074391
"F",2009,22,-7.59,502613,1074391
"I",2009,21,-7.97,88632,219360
"I",2009,22,-4.21,88632,219360
"R",2009,21,0.14,6381,18365
"R",2009,22,5.38,6381,18365
"D",2010,21,-0.89,1710349,3688920
"D",2010,22,2.42,1710349,3688920
"F",2010,21,4.51,523889,1085781
"F",2010,22,-7.14,523889,1085781
"I",2010,21,-7.83,92796,220802
"I",2010,22,-3.49,92796,220802
"R",2010,21,0.74,6550,18372
"R",2010,22,5.68,6550,18372
"D",2011,21,-0.9,1831207,3703275
"D",2011,22,2.28,1831207,3703275
"F",2011,21,4.5,520717,1091196
"F",2011,22,-6.76,520717,1091196
"I",2011,21,-7.66,97309,221452
"I",2011,22,-2.86,97309,221452
"R",2011,21,1.26,8155,18457
"R",2011,22,5.88,8155,18457
"D",2012,21,-0.93,1477749,3714277
"D",2012,22,2.17,1477749,3714277
"F",2012,21,4.51,478022,1100405
"F",2012,22,-6.44,478022,1100405
"I",2012,21,-7.5,87694,224266
"I",2012,22,-2.37,87694,224266
"R",2012,21,1.68,6854,19248
"R",2012,22,5.99,6854,19248
"D",2013,21,-0.96,1749932,3765695
"D",2013,22,2.08,1749932,3765695
"F",2013,21,4.54,528283,1108896
"F",2013,22,-6.19,528283,1108896
"I",2013,21,-7.34,98794,225701
"I",2013,22,-1.98,98794,225701
"R",2013,21,1.97,8134,18303
"R",2013,22,6.02,8134,18303
"D",2014,21,-0.99,1965468,3790479
"D",2014,22,2.01,1965468,3790479
"F",2014,21,4.59,606085,1118408
"F",2014,22,-6.01,606085,1118408
"I",2014,21,-7.23,117145,227393
"I",2014,22,-1.72,117145,227393
"R",2014,21,2.16,8483,18240
"R",2014,22,6.01,8483,18240
